                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7308,                 1.3816,                 1.3438,                0.46295,                0.21975,                0.19051,                0.08707,                 2.7049,                 2.6053,                  2.025,               0.001633,               0.001633,               0.001633
                     36,                 1.7132,                 1.3479,                 1.3302,                0.46648,                0.20864,                0.18223,                0.07129,                  2.914,                 2.5066,                  2.049,              0.0016127,              0.0016127,              0.0016127
                     37,                 1.7397,                 1.3603,                 1.3271,                0.49313,                0.24198,                0.21851,                0.10131,                 2.6735,                 2.2324,                  1.968,              0.0015919,              0.0015919,              0.0015919
                     38,                 1.6154,                 1.2724,                 1.2767,                0.53136,                0.22963,                0.21019,                0.09252,                 2.7681,                 2.2689,                 2.0049,              0.0015707,              0.0015707,              0.0015707
                     39,                 1.7294,                 1.3919,                 1.3428,                0.40492,                0.22963,                0.20909,                0.09593,                 2.7204,                  2.355,                 1.9245,              0.0015492,              0.0015492,              0.0015492
                     40,                 1.6039,                 1.2873,                 1.2918,                 0.4911,                0.24543,                0.22852,                0.10008,                 2.6372,                 2.3363,                 1.9585,              0.0015273,              0.0015273,              0.0015273
                     41,                 1.6905,                 1.3198,                 1.2895,                0.41913,                0.26049,                0.23208,                0.11358,                 2.5036,                 2.2122,                 1.8525,               0.001505,               0.001505,               0.001505
                     42,                 1.6201,                 1.3005,                 1.3098,                0.46899,                0.23333,                0.20049,                 0.0885,                  2.735,                 2.3775,                 1.9735,              0.0014824,              0.0014824,              0.0014824
                     43,                 1.6142,                 1.2137,                 1.2957,                0.50854,                0.23704,                0.23746,                0.11191,                 2.4131,                 2.0614,                 1.7862,              0.0014595,              0.0014595,              0.0014595
                     44,                 1.5924,                 1.2385,                 1.2668,                 0.5583,                0.26173,                0.25003,                 0.1115,                 2.4451,                 2.1172,                 1.7843,              0.0014362,              0.0014362,              0.0014362
                     45,                 1.6596,                 1.2953,                 1.2755,                0.30404,                0.21111,                0.16933,                0.06635,                 3.0118,                 2.8754,                 2.1879,              0.0014127,              0.0014127,              0.0014127
                     46,                 1.5636,                 1.1868,                 1.2378,                0.48192,                0.24198,                0.23325,                0.10144,                  2.684,                 2.1288,                 1.9594,              0.0013889,              0.0013889,              0.0013889
                     47,                 1.5635,                 1.1709,                 1.2332,                0.45994,                0.24444,                0.21912,                0.09501,                 2.7002,                 2.2244,                 1.9732,              0.0013648,              0.0013648,              0.0013648
                     48,                 1.5239,                 1.1712,                 1.2256,                0.56351,                0.25802,                0.25711,                0.12077,                 2.5236,                 1.9518,                 1.8318,              0.0013405,              0.0013405,              0.0013405
                     49,                 1.5351,                 1.1694,                 1.2362,                0.56565,                0.26049,                0.25917,                0.11275,                 2.6412,                 2.1576,                 1.9324,              0.0013159,              0.0013159,              0.0013159
                     50,                 1.5418,                 1.1837,                 1.2577,                0.62605,                0.28025,                0.30175,                0.14684,                 2.3183,                 1.8445,                  1.747,              0.0012912,              0.0012912,              0.0012912
                     51,                 1.5313,                 1.1841,                  1.237,                0.57229,                0.26914,                0.27552,                0.11699,                 2.5662,                 1.9782,                 1.9076,              0.0012662,              0.0012662,              0.0012662
                     52,                 1.5112,                 1.1432,                 1.2257,                0.57334,                0.30864,                0.29802,                0.13591,                 2.5416,                 1.9935,                 1.8471,              0.0012411,              0.0012411,              0.0012411
                     53,                 1.4645,                 1.1045,                 1.2224,                0.51804,                0.29061,                0.26806,                0.12985,                 2.5429,                 1.9217,                 1.8586,              0.0012158,              0.0012158,              0.0012158
                     54,                 1.4911,                 1.1519,                 1.2333,                0.55914,                0.24074,                0.24972,                0.11042,                 2.6236,                  2.111,                 1.9442,              0.0011904,              0.0011904,              0.0011904
                     55,                 1.4467,                 1.0944,                  1.193,                0.57513,                0.25067,                0.25888,                0.11739,                 2.5021,                 1.9459,                   1.76,              0.0011649,              0.0011649,              0.0011649
                     56,                 1.5082,                 1.1247,                 1.2183,                0.54162,                 0.2716,                0.27843,                0.12903,                  2.491,                 1.9927,                 1.8898,              0.0011392,              0.0011392,              0.0011392
                     57,                  1.437,                 1.0879,                 1.1998,                0.58254,                 0.2716,                0.28145,                 0.1329,                 2.5142,                 1.9637,                 1.9264,              0.0011135,              0.0011135,              0.0011135
                     58,                 1.4148,                 1.0501,                 1.1746,                0.54751,                0.27901,                0.27441,                0.12821,                 2.4815,                 2.0402,                 1.8663,              0.0010877,              0.0010877,              0.0010877
                     59,                 1.4102,                  1.053,                 1.1885,                0.61983,                0.29506,                0.29373,                0.13505,                 2.5696,                 1.8609,                 1.8324,              0.0010618,              0.0010618,              0.0010618
                     60,                 1.3732,                 1.0309,                 1.1561,                0.66642,                0.29753,                0.30944,                0.15143,                 2.4137,                 1.7618,                 1.7521,              0.0010359,              0.0010359,              0.0010359
                     61,                 1.3686,                 1.0275,                 1.1703,                0.59311,                0.26814,                0.28514,                0.13669,                 2.5308,                 1.8233,                 1.8428,                0.00101,                0.00101,                0.00101
                     62,                 1.3579,                 1.0003,                 1.1669,                0.52449,                0.28519,                0.27488,                 0.1258,                 2.4694,                 1.8257,                 1.8477,             0.00098408,             0.00098408,             0.00098408
                     63,                  1.394,                 1.0186,                 1.1646,                0.59532,                0.29259,                 0.2999,                0.14288,                 2.4511,                 1.8294,                 1.8086,             0.00095819,             0.00095819,             0.00095819
                     64,                 1.3884,                 1.0359,                 1.1514,                0.59351,                0.31365,                0.33037,                0.15676,                 2.3282,                 1.7485,                 1.7615,             0.00093233,             0.00093233,             0.00093233
                     65,                 1.3485,                 1.0021,                 1.1488,                0.54015,                0.23493,                0.23836,                0.10693,                 2.7224,                 2.1597,                 1.9808,             0.00090652,             0.00090652,             0.00090652
                     66,                 1.3163,                  0.947,                   1.13,                0.63641,                 0.3037,                0.31995,                0.15885,                 2.3239,                 1.7539,                 1.7752,             0.00088078,             0.00088078,             0.00088078
                     67,                 1.2941,                0.94614,                 1.1274,                0.62543,                0.29753,                0.31718,                 0.1505,                 2.4152,                 1.7429,                 1.8439,             0.00085513,             0.00085513,             0.00085513
