epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.063,1.86254,1.95796,1.92628,0.54107,0.30064,0.2944,0.16403,2.27471,2.62645,1.57487,0.000653333,0.000653333,0.000653333
2,481.188,1.92393,1.95335,2.96969,0.53104,0.26879,0.28611,0.14979,2.32871,2.74755,1.60044,0.00125466,0.00125466,0.00125466
3,714.03,1.94776,1.98895,2.16478,0.44214,0.27643,0.24788,0.13384,2.30552,2.75786,1.62243,0.00178999,0.00178999,0.00178999
4,946.545,1.91126,1.89426,2.61506,0.50628,0.2242,0.23054,0.11872,2.40393,2.94235,1.76141,0.001703,0.001703,0.001703
5,1181.09,1.93456,1.93413,2.60762,0.3402,0.23057,0.1815,0.07925,2.58829,3.10222,1.7783,0.001604,0.001604,0.001604
6,1414.4,1.97446,1.95771,2.00414,0.49669,0.32739,0.29741,0.15604,2.32245,2.54536,1.61845,0.001505,0.001505,0.001505
7,1648.12,1.86308,1.82801,3.12182,0.50065,0.30397,0.29768,0.17333,2.27587,2.60355,1.55527,0.001406,0.001406,0.001406
8,1882.33,1.86238,1.87433,2.62823,0.46815,0.27134,0.26715,0.15097,2.29369,2.65165,1.58119,0.001307,0.001307,0.001307
9,2116.66,1.85439,1.88758,3.89832,0.54849,0.30318,0.29561,0.16273,2.16741,2.5115,1.52841,0.001208,0.001208,0.001208
10,2352.31,1.76943,1.67893,3.98955,0.58626,0.31228,0.33197,0.18768,2.19801,2.44456,1.54839,0.001109,0.001109,0.001109
11,2585.03,1.80734,1.80105,4.09409,0.52421,0.3537,0.34114,0.19648,2.16525,2.3218,1.56571,0.00101,0.00101,0.00101
12,2816.66,1.80897,1.83513,3.54935,0.54426,0.32611,0.32465,0.18509,2.13306,2.92962,1.53954,0.000911,0.000911,0.000911
13,3046.9,1.81062,1.80821,3.80051,0.52237,0.32102,0.31019,0.17692,2.08249,2.26622,1.48218,0.000812,0.000812,0.000812
14,3277.37,1.75901,1.74937,4.90847,0.54448,0.34413,0.34282,0.19757,2.07031,2.27215,1.47267,0.000713,0.000713,0.000713
15,3508.61,1.74096,1.71294,2.39898,0.5781,0.35924,0.35904,0.21633,2.05011,2.136,1.43641,0.000614,0.000614,0.000614
16,3739.11,1.71744,1.71675,3.11957,0.61373,0.35159,0.37454,0.22569,2.03126,2.15334,1.42035,0.000515,0.000515,0.000515
17,3969.47,1.66684,1.605,4.26246,0.63988,0.36051,0.37517,0.22656,2.05563,2.29669,1.44822,0.000416,0.000416,0.000416
18,4199.39,1.67068,1.61469,3.19057,0.60894,0.3707,0.38098,0.23128,2.03926,2.21304,1.44388,0.000317,0.000317,0.000317
19,4428.71,1.63884,1.60118,2.21415,0.64187,0.35924,0.38701,0.24042,2.01126,2.19688,1.43158,0.000218,0.000218,0.000218
20,4658.3,1.62337,1.57328,2.19481,0.65314,0.3718,0.39482,0.2456,1.99211,2.19513,1.41818,0.000119,0.000119,0.000119
