                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8036,                 1.4966,                 1.3984,                0.51774,                0.25185,                0.24589,                0.12017,                 2.4699,                 2.2602,                 1.8708,               0.001633,               0.001633,               0.001633
                     36,                 1.8406,                 1.4896,                 1.3941,                0.42111,                0.22222,                0.21532,                0.09349,                 2.5891,                 2.5293,                 1.9127,              0.0016127,              0.0016127,              0.0016127
                     37,                 1.8107,                 1.4709,                 1.3847,                0.61557,                0.21111,                0.23527,                0.11593,                 2.4211,                 2.4479,                 1.8601,              0.0015919,              0.0015919,              0.0015919
                     38,                 1.7837,                 1.4426,                 1.3674,                0.55929,                0.25802,                0.25772,                0.12463,                 2.4126,                 2.1636,                 1.8671,              0.0015707,              0.0015707,              0.0015707
                     39,                 1.7969,                   1.46,                 1.3957,                 0.4828,                0.22593,                0.21267,                0.09143,                   2.57,                 2.3542,                 1.9013,              0.0015492,              0.0015492,              0.0015492
                     40,                 1.7709,                 1.4221,                 1.3803,                0.53454,                0.24691,                0.24492,                 0.1191,                 2.3899,                 2.1186,                 1.8263,              0.0015273,              0.0015273,              0.0015273
                     41,                 1.7709,                 1.4231,                 1.3429,                0.58204,                0.24938,                0.26056,                0.13388,                  2.332,                 2.1079,                 1.7945,               0.001505,               0.001505,               0.001505
                     42,                 1.7517,                 1.4127,                 1.3719,                0.52073,                0.25679,                0.24451,                0.10919,                 2.6107,                 2.4435,                 1.9717,              0.0014824,              0.0014824,              0.0014824
                     43,                 1.7041,                 1.3367,                 1.3525,                0.62232,                0.26296,                0.27494,                0.13607,                 2.5162,                 2.3095,                 1.8415,              0.0014595,              0.0014595,              0.0014595
                     44,                 1.7142,                 1.3459,                 1.3345,                 0.5291,                0.27284,                0.26945,                0.12516,                 2.5003,                 2.2312,                 1.8308,              0.0014362,              0.0014362,              0.0014362
                     45,                 1.7585,                 1.3931,                 1.3472,                0.46467,                 0.2321,                0.21929,                0.08858,                 2.5911,                 2.4056,                 1.8864,              0.0014127,              0.0014127,              0.0014127
                     46,                 1.6418,                  1.291,                 1.2973,                0.54091,                0.22716,                0.23522,                0.10605,                 2.5434,                 2.2835,                 1.8589,              0.0013889,              0.0013889,              0.0013889
                     47,                 1.6545,                 1.2848,                 1.2965,                0.54096,                0.27352,                0.28068,                0.13239,                 2.4745,                 2.1554,                 1.8096,              0.0013648,              0.0013648,              0.0013648
                     48,                  1.631,                 1.2727,                 1.2933,                0.59698,                0.28529,                0.28985,                0.14266,                 2.3791,                 2.0742,                 1.7792,              0.0013405,              0.0013405,              0.0013405
                     49,                 1.6411,                 1.3361,                 1.3113,                0.59165,                0.28272,                0.28122,                0.14731,                 2.2932,                  1.961,                   1.71,              0.0013159,              0.0013159,              0.0013159
