                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1509,                 1.9581,                 1.6145,                0.43677,                0.21732,                0.20383,                 0.0897,                 2.5733,                 2.4053,                  1.856,              0.0014869,              0.0014869,              0.0014869
                     36,                 2.1649,                 1.9334,                 1.6441,                0.45257,                0.22222,                0.20892,                 0.0906,                 2.6962,                 2.4757,                 1.8999,              0.0014595,              0.0014595,              0.0014595
                     37,                 2.1875,                  1.932,                 1.6565,                0.42632,                0.24938,                0.23633,                0.10155,                 2.5787,                 2.4949,                 1.8701,              0.0014315,              0.0014315,              0.0014315
                     38,                 2.1301,                  1.879,                 1.6007,                0.42139,                0.24074,                0.21593,                0.09011,                 2.7772,                 2.4394,                 1.9265,              0.0014032,              0.0014032,              0.0014032
                     39,                 2.1307,                 1.9129,                 1.6294,                0.50111,                0.19877,                0.18914,                0.07352,                  2.701,                 2.6881,                 1.9497,              0.0013744,              0.0013744,              0.0013744
                     40,                 2.0886,                 1.8256,                 1.5958,                0.43313,                0.25556,                0.23634,                0.10886,                 2.4877,                 2.2537,                 1.8613,              0.0013454,              0.0013454,              0.0013454
                     41,                 2.1466,                 1.9139,                  1.617,                0.43037,                0.25802,                0.23399,                0.10781,                 2.5389,                 2.4014,                 1.7954,              0.0013159,              0.0013159,              0.0013159
                     42,                 2.1163,                 1.8704,                 1.6116,                 0.4286,                 0.2321,                0.22488,                0.09801,                 2.6493,                 2.4554,                 1.8605,              0.0012862,              0.0012862,              0.0012862
                     43,                 2.0562,                 1.7701,                 1.5284,                 0.4324,                0.24453,                0.23716,                0.10841,                 2.5705,                 2.4011,                 1.8767,              0.0012562,              0.0012562,              0.0012562
                     44,                  2.103,                 1.8571,                 1.6145,                0.48979,                0.24444,                0.24026,                0.11201,                 2.6614,                 2.4301,                 1.8804,               0.001226,               0.001226,               0.001226
                     45,                 2.0464,                 1.8179,                 1.5673,                0.52765,                0.26616,                0.26454,                0.12892,                 2.4599,                 2.2742,                 1.8187,              0.0011955,              0.0011955,              0.0011955
                     46,                  2.043,                  1.856,                 1.5442,                0.48595,                0.24074,                0.24612,                0.11179,                 2.5926,                 2.3911,                 1.8403,              0.0011649,              0.0011649,              0.0011649
                     47,                 1.9795,                 1.6844,                 1.5057,                0.51081,                0.28272,                0.26618,                0.12963,                 2.5445,                 2.2708,                 1.8289,              0.0011341,              0.0011341,              0.0011341
                     48,                 1.9914,                 1.6922,                 1.5335,                0.49768,                0.26542,                0.25628,                0.12099,                 2.5538,                 2.2643,                 1.8283,              0.0011032,              0.0011032,              0.0011032
                     49,                 1.9561,                 1.6762,                 1.5135,                0.53237,                0.26049,                0.27047,                0.12998,                 2.4377,                 2.1787,                 1.8224,              0.0010722,              0.0010722,              0.0010722
                     50,                 1.9344,                 1.6538,                 1.5304,                0.52184,                0.28765,                0.28979,                0.14379,                 2.4501,                 2.1723,                 1.7535,              0.0010411,              0.0010411,              0.0010411
                     51,                  1.925,                 1.6861,                 1.5028,                0.53452,                0.28148,                0.29023,                0.13642,                 2.4968,                 2.1686,                 1.7765,                0.00101,                0.00101,                0.00101
                     52,                 1.9306,                 1.6688,                  1.473,                 0.4549,                 0.2963,                0.28001,                0.13159,                 2.5008,                 2.1998,                 1.8067,              0.0009789,              0.0009789,              0.0009789
                     53,                 1.9036,                 1.6381,                 1.5139,                0.54061,                0.29783,                 0.3008,                0.14428,                 2.4452,                 2.0986,                 1.7513,             0.00094784,             0.00094784,             0.00094784
                     54,                 1.8474,                 1.5858,                 1.4491,                0.58189,                0.30741,                0.31761,                0.15527,                 2.3165,                 2.0637,                 1.7242,             0.00091683,             0.00091683,             0.00091683
                     55,                 1.8685,                 1.5483,                 1.4617,                0.61103,                0.29136,                0.31267,                0.15441,                 2.3489,                 2.0655,                 1.6879,             0.00088592,             0.00088592,             0.00088592
                     56,                 1.8969,                  1.617,                 1.4728,                0.58172,                    0.3,                0.31313,                0.15577,                 2.3524,                 2.0923,                 1.6961,             0.00085513,             0.00085513,             0.00085513
                     57,                 1.7775,                 1.5111,                 1.4103,                0.57189,                0.33086,                0.33302,                0.17205,                   2.25,                 2.0067,                 1.6443,             0.00082449,             0.00082449,             0.00082449
                     58,                 1.8023,                 1.5098,                 1.4308,                0.61217,                0.31179,                0.32344,                0.16724,                 2.2868,                 1.9987,                 1.6709,             0.00079404,             0.00079404,             0.00079404
