                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6038,                 1.2165,                 1.2865,                0.60267,                 0.2963,                 0.3075,                0.16358,                 2.2113,                 1.8536,                 1.6935,              0.0014869,              0.0014869,              0.0014869
                     36,                 1.6327,                 1.2288,                 1.2809,                0.63975,                0.31132,                0.32351,                0.17129,                 2.2525,                 1.8281,                 1.7029,              0.0014595,              0.0014595,              0.0014595
                     37,                 1.5783,                 1.1861,                 1.2464,                0.60788,                0.24691,                0.25087,                0.11971,                 2.5335,                 2.0805,                   1.86,              0.0014315,              0.0014315,              0.0014315
                     38,                 1.5554,                 1.1894,                 1.2436,                0.54528,                0.26667,                0.25718,                0.12002,                 2.4784,                 2.0549,                 1.8256,              0.0014032,              0.0014032,              0.0014032
                     39,                 1.5687,                 1.1794,                 1.2607,                0.64859,                    0.3,                0.31849,                0.15873,                 2.3113,                 1.7788,                 1.7141,              0.0013744,              0.0013744,              0.0013744
                     40,                 1.4964,                 1.1195,                 1.2378,                0.67572,                0.23086,                0.25975,                0.11769,                 2.4796,                 2.0078,                 1.8066,              0.0013454,              0.0013454,              0.0013454
                     41,                 1.5125,                 1.1469,                 1.2136,                0.58435,                0.30494,                0.30284,                0.15548,                 2.3042,                 1.8828,                 1.7193,              0.0013159,              0.0013159,              0.0013159
                     42,                 1.5378,                 1.1612,                 1.2597,                0.58643,                 0.3046,                0.30677,                 0.1488,                 2.3755,                 1.8026,                 1.7192,              0.0012862,              0.0012862,              0.0012862
                     43,                 1.5179,                 1.1026,                 1.2408,                0.58667,                0.29753,                0.29962,                0.14884,                 2.3595,                 1.8656,                 1.7272,              0.0012562,              0.0012562,              0.0012562
                     44,                 1.5414,                 1.1195,                 1.2251,                0.58838,                0.34938,                0.34056,                0.18721,                 2.1809,                 1.7508,                 1.6651,               0.001226,               0.001226,               0.001226
                     45,                 1.5494,                 1.1325,                 1.2123,                 0.6654,                0.32099,                0.34929,                0.18491,                 2.1989,                 1.7968,                 1.6608,              0.0011955,              0.0011955,              0.0011955
                     46,                 1.3935,                  1.019,                 1.1612,                0.62876,                0.32716,                0.32344,                0.16564,                 2.2087,                 1.7664,                 1.6786,              0.0011649,              0.0011649,              0.0011649
                     47,                 1.3954,                 1.0093,                 1.1672,                0.64852,                0.29877,                0.31389,                0.15127,                 2.3049,                 1.8126,                 1.7169,              0.0011341,              0.0011341,              0.0011341
                     48,                 1.4212,                 1.0469,                 1.1776,                0.59677,                0.29416,                0.31126,                0.13886,                  2.393,                 1.8278,                 1.7495,              0.0011032,              0.0011032,              0.0011032
                     49,                 1.4024,                 1.0408,                  1.171,                0.64951,                0.34444,                0.34007,                0.16644,                 2.2483,                 1.6514,                 1.6806,              0.0010722,              0.0010722,              0.0010722
                     50,                 1.3905,                  1.029,                 1.1744,                0.63025,                0.31775,                0.33408,                0.17695,                 2.2255,                 1.6727,                 1.6825,              0.0010411,              0.0010411,              0.0010411
                     51,                 1.3819,                 1.0209,                 1.1665,                0.63552,                0.33333,                0.35095,                0.18779,                 2.1434,                  1.638,                 1.6526,                0.00101,                0.00101,                0.00101
                     52,                 1.3741,                  1.009,                 1.1735,                0.68796,                 0.3037,                0.34269,                0.17534,                 2.1524,                 1.7228,                 1.6544,              0.0009789,              0.0009789,              0.0009789
                     53,                  1.332,                0.98721,                 1.1664,                0.70268,                0.32099,                0.35658,                0.19407,                 2.0719,                 1.6031,                 1.5946,             0.00094784,             0.00094784,             0.00094784
                     54,                 1.3517,                 1.0249,                 1.1664,                 0.6581,                0.31235,                  0.339,                0.17536,                 2.2258,                  1.704,                 1.6113,             0.00091683,             0.00091683,             0.00091683
                     55,                  1.319,                0.96127,                 1.1358,                0.71033,                0.31605,                0.34753,                0.18878,                 2.0843,                 1.6876,                 1.5677,             0.00088592,             0.00088592,             0.00088592
                     56,                  1.352,                0.98164,                 1.1469,                0.70775,                0.34568,                0.36876,                0.20079,                 2.0039,                 1.5095,                 1.5566,             0.00085513,             0.00085513,             0.00085513
                     57,                 1.3403,                0.94843,                 1.1395,                0.62084,                0.37037,                0.38161,                0.21134,                  1.986,                 1.5395,                 1.5466,             0.00082449,             0.00082449,             0.00082449
                     58,                  1.273,                0.91248,                 1.1169,                0.67954,                0.33333,                0.35467,                0.18472,                 2.0522,                  1.627,                 1.5956,             0.00079404,             0.00079404,             0.00079404
                     59,                 1.2619,                0.90395,                 1.1236,                0.65203,                0.32346,                0.34571,                0.17448,                 2.2049,                 1.6624,                 1.6534,              0.0007638,              0.0007638,              0.0007638
                     60,                 1.2667,                  0.912,                 1.1085,                0.61349,                0.31975,                0.33498,                0.17281,                 2.1182,                 1.6485,                 1.6237,              0.0007338,              0.0007338,              0.0007338
                     61,                 1.2692,                0.92226,                 1.1199,                0.67196,                0.34074,                0.36147,                0.18959,                  2.081,                 1.5773,                 1.5813,             0.00070407,             0.00070407,             0.00070407
                     62,                 1.2134,                 0.8552,                 1.1107,                0.70434,                0.34444,                0.37298,                0.20872,                 2.0562,                 1.5407,                 1.5514,             0.00067465,             0.00067465,             0.00067465
                     63,                 1.2512,                0.88715,                 1.1106,                0.67224,                0.34074,                0.35575,                 0.1764,                 2.1243,                 1.6187,                 1.6115,             0.00064556,             0.00064556,             0.00064556
                     64,                 1.1993,                0.87466,                 1.0811,                0.69498,                0.36287,                0.38619,                0.21246,                 2.0107,                 1.4954,                 1.5442,             0.00061682,             0.00061682,             0.00061682
                     65,                 1.2092,                0.85786,                 1.0889,                0.67896,                0.39136,                0.40529,                0.22379,                 1.9868,                 1.4523,                 1.5229,             0.00058848,             0.00058848,             0.00058848
                     66,                 1.1718,                0.83849,                 1.0746,                0.68629,                0.37037,                0.39325,                0.21694,                 2.0165,                 1.4405,                 1.5403,             0.00056055,             0.00056055,             0.00056055
                     67,                 1.1844,                0.83596,                 1.0711,                0.69874,                0.37512,                0.40146,                0.22627,                 1.9793,                 1.4184,                 1.5302,             0.00053306,             0.00053306,             0.00053306
                     68,                 1.1839,                0.84861,                 1.0865,                0.66854,                 0.3735,                0.39378,                0.22206,                 1.9816,                  1.483,                 1.5065,             0.00050605,             0.00050605,             0.00050605
                     69,                 1.1597,                0.82046,                 1.0579,                0.74834,                 0.3642,                0.38832,                0.21647,                 2.0301,                 1.4716,                 1.5103,             0.00047953,             0.00047953,             0.00047953
                     70,                 1.1534,                0.81422,                 1.0778,                0.63482,                 0.3679,                0.37283,                0.18317,                 2.2267,                 1.6141,                 1.6376,             0.00045354,             0.00045354,             0.00045354
